,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
306,1609463048000,15m,Up,5,3,Close,12010.32,9282.68,1769.74,-1617.54,22,40371.46,297.50%
382,1609463048000,1h,Up,5,7,Close,11986.66,2321.35,23221.87,-2771.31,49,110468.51,108.51%
194,1640999048000,15m,Down,1,5,Close,11963.45,5183.29,1239.25,-94.94,16,23123.19,517.38%
266,1640999048000,1h,Down,1,5,Close,11757.14,1355.55,2206.9,-173.57,14,34167.3,344.10%
421,1609463048000,1h,Down,3,3,High,11727.71,2635.04,6394.94,-1510.81,15,34741.26,337.57%
204,1640999048000,15m,Down,3,3,Close,11551.91,5181.7,2282.61,-640.65,19,25211.86,458.19%
358,1609463048000,15m,Down,5,7,Close,11315.32,10635.55,9924.77,-2664.53,59,150839.71,75.02%
418,1609463048000,1h,Down,2,7,Close,11306.82,2635.25,4518.49,-808.39,26,66194.8,170.81%
233,1640999048000,1h,Up,3,7,High,11236.35,1175.25,10481.56,-606.28,31,75024.37,149.77%
209,1640999048000,15m,Down,3,7,High,11049.02,5181.95,7090.41,-606.83,36,88677.28,124.60%
277,1640999048000,1h,Down,3,3,High,10618.05,1356.11,6394.94,-1025.6,14,41375.61,256.63%
231,1640999048000,1h,Up,3,5,High,10569.15,1175.59,12001.97,-606.28,24,61046.47,173.13%
220,1640999048000,1h,Up,1,7,Close,10529.92,1175.6,1708.34,-134.27,14,37390.2,281.62%
311,1609463048000,15m,Up,5,7,High,10412.89,9276.32,9212.15,-1795.8,56,144619.92,72.00%
378,1609463048000,1h,Up,5,3,Close,10372.03,2322.16,7317.24,-2005.66,31,61830.53,167.75%
162,1640999048000,15m,Up,5,3,Close,10349.84,4516.67,1553.14,-1176.52,17,19182.43,539.55%
206,1640999048000,15m,Down,3,5,Close,10269.42,5182.34,3043.49,-606.83,29,31900.85,321.92%
372,1609463048000,1h,Up,3,3,Close,10173.67,2322.26,2974.08,-1384.77,19,39415.75,258.11%
148,1640999048000,15m,Up,1,7,Close,10088.99,4518.58,1297.47,-80.35,17,26114.05,386.34%
