,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
230,adausdt,0.999,0.99,Close,972.36,263.18,206.77,-53.28,24,4800.0,202.58%,57.73%,3.69,-55.37
244,adausdt,1.007,0.995,Close,965.63,131.25,255.51,-71.45,21,4200.0,229.91%,64.00%,7.36,-34.63
252,adausdt,1.011,0.995,Close,964.28,131.25,255.51,-71.45,21,4200.0,229.59%,64.97%,7.35,-34.63
255,adausdt,1.011,0.99,High,957.48,263.19,278.58,-94.88,26,5200.0,184.13%,63.25%,3.64,-60.62
214,ftmusdt,1.007,0.99,Close,949.97,184.63,137.98,-123.65,35,7000.0,135.71%,60.59%,5.15,-103.92
228,adausdt,0.999,0.995,Close,949.41,131.26,178.03,-29.68,20,4000.0,237.35%,61.47%,7.23,-21.52
222,ftmusdt,1.011,0.99,Close,947.11,184.63,137.98,-123.74,35,7000.0,135.30%,61.64%,5.13,-123.98
212,ftmusdt,1.007,0.995,Close,945.73,102.68,146.33,-55.04,17,3400.0,278.16%,62.01%,9.21,-66.36
220,ftmusdt,1.011,0.995,Close,940.67,102.68,146.33,-67.51,17,3400.0,276.67%,62.86%,9.16,-78.84
223,ftmusdt,1.011,0.99,High,929.77,184.64,137.98,-138.09,35,7000.0,132.82%,61.64%,5.04,-131.56
47,crvusdt,1.003,0.99,High,925.55,161.26,97.83,-81.85,22,4400.0,210.35%,56.88%,5.74,-0.1
95,injusdt,1.011,0.99,High,924.52,180.05,87.92,-105.89,24,4800.0,192.61%,65.56%,5.13,-19.94
63,crvusdt,1.011,0.99,High,924.17,161.26,97.83,-84.64,24,4800.0,192.54%,59.52%,5.73,-4.93
157,roseusdt,1.011,0.995,High,921.78,100.49,73.82,-81.48,15,3000.0,307.26%,67.53%,9.17,-5.43
239,adausdt,1.003,0.99,High,921.11,263.21,206.77,-88.46,24,4800.0,191.90%,58.14%,3.5,-42.93
111,imxusdt,1.003,0.99,High,905.48,140.68,150.61,-71.86,29,5800.0,156.12%,55.80%,6.44,-27.95
221,ftmusdt,1.011,0.995,High,903.36,102.7,146.33,-76.43,17,3400.0,265.69%,62.29%,8.8,-81.11
90,injusdt,1.011,0.999,Close,901.88,55.92,65.72,-26.0,15,3000.0,300.63%,72.54%,16.13,8.09
237,adausdt,1.003,0.995,High,895.83,131.29,178.03,-50.71,20,4000.0,223.96%,58.65%,6.82,-17.07
102,imxusdt,0.999,0.99,Close,891.45,140.68,150.61,-47.63,29,5800.0,153.70%,57.83%,6.34,5.38
