,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
117,1609463048000,15m,Any,5,6,High,-5876.29,9284.46,4884.83,-889.35,26,28475.7,-206.36%
33,1609463048000,15m,Down,2,4,Close,-5876.59,1401.63,863.34,-557.64,48,77496.42,-75.83%
123,1609463048000,15m,Down,2,4,High,-5972.4,9284.51,7028.73,-1795.8,39,44167.78,-135.22%
65,1609463048000,15m,Down,2,5,Close,-6190.71,4524.93,2029.88,-524.98,26,28475.7,-217.40%
121,1609463048000,15m,Down,2,5,High,-6264.72,9284.66,5585.38,-1795.8,30,108962.1,-57.49%
119,1609463048000,15m,Down,2,6,Close,-6492.1,9284.77,5380.7,-889.35,26,28475.7,-227.99%
103,1609463048000,15m,Down,2,6,High,-6747.11,5190.85,2130.33,-1279.25,29,33817.41,-199.52%
127,1609463048000,15m,Down,3,4,Close,-7294.13,19929.95,6181.52,-1090.87,42,63942.45,-114.07%
35,1609463048000,15m,Down,3,4,High,-7734.34,1402.56,1441.56,-557.64,48,77496.42,-99.80%
133,1609463048000,15m,Down,3,5,Close,-10724.92,19928.09,9115.32,-2835.62,49,189714.71,-56.53%
139,1609463048000,15m,Down,3,5,High,-18241.09,19931.84,11672.41,-5003.37,95,111056.36,-164.25%
143,1609463048000,15m,Down,3,6,Close,-20832.68,19933.14,14247.58,-5003.37,103,119568.94,-174.23%
141,1609463048000,15m,Down,3,6,High,-30211.54,19937.82,13394.93,-5003.37,95,111056.36,-272.04%
