,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
361,1641028611000,1h,Down,3,3,High,10618.0,1356.11,6394.94,-1025.6,14,41375.61,256.62%
333,1641028611000,1h,Up,3,5,High,10569.07,1175.59,12001.97,-606.28,24,61046.47,173.13%
258,1641028611000,15m,Down,2,4,Close,10527.43,5191.05,2085.34,-372.74,23,37879.68,277.92%
530,1609492611000,1h,Up,4,4,Close,10459.2,2322.12,14602.03,-1883.7,25,50795.27,205.91%
248,1641028611000,15m,Up,5,3,Close,10438.41,4525.43,1553.14,-1176.52,17,19182.43,544.16%
272,1641028611000,15m,Down,4,3,Close,10436.07,5191.09,2282.61,-1088.48,21,25710.93,405.90%
536,1609492611000,1h,Up,5,3,Close,10372.03,2322.16,7317.24,-2005.66,31,61830.53,167.75%
268,1641028611000,15m,Down,3,5,Close,10193.84,5191.21,3043.49,-606.83,29,31900.85,319.55%
520,1609492611000,1h,Up,3,3,Close,10173.67,2322.26,2974.08,-1384.77,19,39415.75,258.11%
410,1609492611000,15m,Any,5,4,Close,10155.53,19938.28,11672.41,-5003.37,95,111056.36,91.44%
326,1641028611000,1h,Up,2,6,Close,9988.12,1175.88,3445.48,-425.84,23,58726.31,170.08%
550,1609492611000,1h,Down,2,6,Close,9937.69,2635.93,3431.69,-808.39,26,66194.8,150.13%
363,1641028611000,1h,Down,3,4,High,9936.07,1356.46,4465.03,-717.03,29,65456.12,151.80%
271,1641028611000,15m,Down,3,6,High,9926.68,5191.35,7090.41,-606.83,32,42840.87,231.71%
544,1609492611000,1h,Down,2,3,Close,9921.9,2635.94,4108.76,-808.39,15,34741.26,285.59%
356,1641028611000,1h,Down,2,5,Close,9701.23,1356.57,4456.46,-463.84,17,26377.13,367.79%
358,1641028611000,1h,Down,2,6,Close,9688.83,1356.58,3420.08,-463.84,26,66194.8,146.37%
573,1609492611000,1h,Down,5,5,High,9599.93,2636.1,13497.29,-2205.68,38,83455.44,115.03%
240,1641028611000,15m,Up,4,3,Close,9534.3,4525.88,1275.5,-897.86,17,19182.43,497.03%
344,1641028611000,1h,Up,5,3,Close,9309.97,1176.21,1342.99,-1317.93,18,35773.15,260.25%
293,1641028611000,1h,Any,2,5,High,9297.01,2537.64,3118.55,-776.45,29,81285.54,114.37%
555,1609492611000,1h,Down,3,4,High,9245.97,2636.28,4992.58,-1510.81,29,65456.12,141.25%
525,1609492611000,1h,Up,3,5,High,8980.37,2322.85,14799.61,-1384.77,24,61046.47,147.11%
232,1641028611000,15m,Up,3,3,Close,8957.6,4526.17,1275.5,-432.12,17,19182.43,466.97%
365,1641028611000,1h,Down,3,5,High,8843.17,1357.0,4465.03,-717.03,29,65456.12,135.10%
487,1609492611000,1h,Any,2,6,High,8661.37,4963.91,9574.46,-2091.28,49,124921.11,69.33%
338,1641028611000,1h,Up,4,4,Close,8630.69,1176.55,3998.47,-1005.03,18,19617.71,439.94%
535,1609492611000,1h,Up,4,6,High,8610.13,2323.04,23695.71,-1508.93,31,75024.37,114.76%
276,1641028611000,15m,Down,4,5,Close,8540.6,5192.04,3043.49,-1088.48,40,47160.41,181.10%
226,1641028611000,15m,Up,2,4,Close,8364.62,4526.47,1594.08,-287.24,19,29103.3,287.41%
266,1641028611000,15m,Down,3,4,Close,8315.84,5192.15,2018.34,-640.65,23,37879.68,219.53%
324,1641028611000,1h,Up,2,5,Close,8254.89,1176.74,3445.48,-425.84,23,58726.31,140.57%
548,1609492611000,1h,Down,2,5,Close,8107.18,2636.84,4456.46,-808.39,17,53908.37,150.39%
354,1641028611000,1h,Down,2,4,Close,8020.42,1357.41,2617.38,-463.84,15,36468.09,219.93%
291,1641028611000,1h,Any,2,4,High,8010.88,2538.28,3118.55,-776.45,29,81285.54,98.55%
230,1641028611000,15m,Up,2,6,Close,7953.73,4526.67,1575.0,-287.24,22,33492.95,237.47%
221,1641028611000,15m,Any,5,5,High,7882.68,9723.01,13394.93,-2095.49,95,111056.36,70.98%
228,1641028611000,15m,Up,2,5,Close,7815.08,4526.74,1778.66,-287.24,22,33492.95,233.33%
434,1609492611000,15m,Up,4,4,Close,7770.13,9288.68,3558.93,-1220.31,25,28129.25,276.23%
