,symbol,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
41,nearusdt,1h,3.0,5,Close,-0.24,0.01,0.2,-0.2,2,4.51,-52.50%,25.00%,-17.57,-0.24
40,nearusdt,1h,3.0,3,Close,-0.32,0.01,0.12,-0.2,2,4.51,-70.42%,25.00%,-23.64,-0.32
125,avaxusdt,1h,0.5,3,Close,-0.37,0.22,0.27,-0.42,1,85.19,-4.28%,50.00%,-1.63,-0.62
86,apeusdt,1h,2.0,5,Close,-0.81,0.03,0.0,-0.41,2,11.06,-73.56%,0.00%,-25.96,-0.81
87,apeusdt,1h,2.0,7,Close,-0.81,0.03,0.0,-0.41,2,11.06,-73.56%,0.00%,-25.96,-0.81
88,apeusdt,1h,2.0,9,Close,-0.81,0.03,0.0,-0.41,2,11.06,-73.56%,0.00%,-25.96,-0.81
89,apeusdt,1h,2.0,12,Close,-0.81,0.03,0.0,-0.41,2,11.06,-73.56%,0.00%,-25.96,-0.81
84,apeusdt,1h,1.0,12,Close,-0.93,0.03,0.0,-0.65,2,11.06,-84.14%,0.00%,-29.76,-0.93
81,apeusdt,1h,1.0,5,Close,-0.93,0.03,0.0,-0.65,2,11.06,-84.14%,0.00%,-29.76,-0.93
80,apeusdt,1h,1.0,3,Close,-0.93,0.03,0.0,-0.65,2,11.06,-84.14%,0.00%,-29.76,-0.93
82,apeusdt,1h,1.0,7,Close,-0.93,0.03,0.0,-0.65,2,11.06,-84.14%,0.00%,-29.76,-0.93
83,apeusdt,1h,1.0,9,Close,-0.93,0.03,0.0,-0.65,2,11.06,-84.14%,0.00%,-29.76,-0.93
111,avaxusdt,15m,2.0,5,Close,-1.11,2.82,7.47,-4.08,4,339.42,-3.27%,29.09%,-0.39,-4.89
110,avaxusdt,15m,2.0,3,Close,-1.25,2.82,3.9,-4.08,3,47.62,-26.21%,37.93%,-0.44,-7.66
134,avaxusdt,1h,1.0,12,Close,-1.29,0.22,1.07,-0.99,2,36.68,-35.14%,28.57%,-5.78,-2.35
133,avaxusdt,1h,1.0,9,Close,-1.56,0.22,0.81,-0.99,2,36.68,-42.45%,28.57%,-6.98,-2.35
132,avaxusdt,1h,1.0,7,Close,-1.74,0.22,0.63,-0.99,2,36.68,-47.33%,28.57%,-7.79,-2.35
131,avaxusdt,1h,1.0,5,Close,-1.92,0.22,0.45,-0.99,2,36.68,-52.21%,28.57%,-8.59,-2.35
130,avaxusdt,1h,1.0,3,Close,-2.09,0.22,0.27,-0.99,2,36.68,-57.09%,28.57%,-9.4,-2.35
