,symbol,interval,kd_dir,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
100,ftmusdt,15m,Any,3,3,Close,-375.25,89.66,42.77,-41.7,9,1800.0,-208.47%,45.21%,-4.19,1.03
255,woousdt,15m,Up,7,12,Close,-375.63,67.05,236.46,-82.72,10,2000.0,-187.81%,34.96%,-5.6,1.07
282,dydxusdt,1h,Up,5,9,Close,-376.33,16.42,271.56,-174.32,8,1600.0,-235.21%,28.57%,-22.92,1.41
266,dydxusdt,1h,Any,5,9,Close,-384.39,17.62,299.73,-174.32,8,1600.0,-240.24%,28.89%,-21.82,1.3
119,ftmusdt,15m,Up,3,12,Close,-389.0,84.05,211.94,-31.66,11,2200.0,-176.82%,15.22%,-4.63,1.09
114,ftmusdt,15m,Up,1,9,Close,-392.94,84.05,73.03,-16.37,5,1000.0,-392.94%,9.91%,-4.68,1.0
173,sandusdt,15m,Any,7,5,Close,-407.39,78.64,65.32,-74.45,7,1400.0,-291.00%,54.21%,-5.18,1.07
101,ftmusdt,15m,Any,3,5,Close,-414.14,89.64,127.81,-41.7,12,2400.0,-172.56%,29.63%,-4.62,1.02
99,ftmusdt,15m,Any,1,12,Close,-414.85,89.64,92.6,-24.02,7,1400.0,-296.32%,9.54%,-4.63,1.0
63,ethusdt,15m,Up,7,12,Close,-415.02,93.64,92.43,-87.53,9,1800.0,-230.57%,31.74%,-4.43,1.08
183,sandusdt,15m,Up,3,12,Close,-415.97,74.43,178.84,-37.55,9,1800.0,-231.10%,15.00%,-5.59,1.3
283,dydxusdt,1h,Up,5,12,Close,-446.17,16.39,333.41,-174.32,8,1600.0,-278.86%,20.51%,-27.23,1.25
253,woousdt,15m,Up,7,5,Close,-456.36,67.01,66.46,-82.35,9,1800.0,-253.53%,58.90%,-6.81,1.34
215,woousdt,1h,Up,3,12,Close,-461.14,13.18,56.47,-58.5,6,1200.0,-384.28%,10.26%,-35.0,1.0
238,woousdt,15m,Any,7,9,Close,-471.09,70.8,124.27,-94.2,12,2400.0,-196.29%,42.54%,-6.65,1.02
98,ftmusdt,15m,Any,1,9,Close,-473.08,89.61,73.03,-24.02,7,1400.0,-337.91%,9.67%,-5.28,1.0
167,sandusdt,15m,Any,3,12,Close,-473.94,78.6,178.84,-37.55,9,1800.0,-263.30%,15.05%,-6.03,1.29
47,ethusdt,15m,Any,7,12,Close,-474.58,100.81,112.17,-87.53,11,2200.0,-215.72%,31.76%,-4.71,1.06
267,dydxusdt,1h,Any,5,12,Close,-478.47,17.57,371.16,-174.32,8,1600.0,-299.04%,19.51%,-27.23,1.22
233,woousdt,15m,Any,5,5,Close,-480.57,70.8,59.87,-82.35,9,1800.0,-266.98%,49.18%,-6.79,1.2
234,woousdt,15m,Any,5,9,Close,-480.93,70.79,124.27,-82.35,12,2400.0,-200.39%,32.48%,-6.79,1.07
251,woousdt,15m,Up,5,12,Close,-494.73,66.99,236.46,-82.35,10,2000.0,-247.36%,26.21%,-7.39,1.08
199,woousdt,1h,Any,3,12,Close,-501.4,14.16,56.47,-58.5,6,1200.0,-417.83%,9.76%,-35.42,1.0
285,dydxusdt,1h,Up,7,5,Close,-524.7,16.35,154.46,-455.36,10,2000.0,-262.35%,52.50%,-32.1,1.4
103,ftmusdt,15m,Any,3,12,Close,-532.0,89.58,233.67,-41.7,12,2400.0,-221.67%,14.77%,-5.94,1.07
118,ftmusdt,15m,Up,3,9,Close,-548.99,83.97,170.39,-31.66,11,2200.0,-249.54%,17.99%,-6.54,1.05
239,woousdt,15m,Any,7,12,Close,-564.15,70.75,236.46,-94.2,12,2400.0,-235.06%,34.13%,-7.97,1.02
269,dydxusdt,1h,Any,7,5,Close,-588.33,17.51,154.46,-455.36,10,2000.0,-294.17%,51.11%,-33.59,1.27
286,dydxusdt,1h,Up,7,9,Close,-591.58,16.31,271.56,-455.36,10,2000.0,-295.79%,40.00%,-36.27,1.4
187,sandusdt,15m,Up,5,12,Close,-599.27,74.34,178.84,-58.19,9,1800.0,-332.93%,22.02%,-8.06,1.2
191,sandusdt,15m,Up,7,12,Close,-601.9,74.34,232.11,-93.69,10,2000.0,-300.95%,27.66%,-8.1,1.31
237,woousdt,15m,Any,7,5,Close,-608.17,70.73,66.46,-94.2,9,1800.0,-337.87%,58.08%,-8.6,1.22
317,dydxusdt,15m,Up,7,5,Close,-609.72,94.14,141.57,-115.95,9,1800.0,-338.73%,53.02%,-6.48,1.29
159,sandusdt,1h,Up,7,12,Close,-616.99,13.3,101.45,-263.17,7,1400.0,-440.71%,31.25%,-46.4,1.0
302,dydxusdt,15m,Any,7,9,Close,-627.71,99.74,314.38,-142.61,11,2200.0,-285.32%,36.63%,-6.29,1.17
158,sandusdt,1h,Up,7,9,Close,-646.21,13.28,76.42,-263.17,7,1400.0,-461.58%,36.36%,-48.65,1.0
102,ftmusdt,15m,Any,3,9,Close,-648.51,89.52,188.31,-41.7,12,2400.0,-270.21%,17.89%,-7.24,1.04
235,woousdt,15m,Any,5,12,Close,-649.8,70.71,236.46,-82.35,12,2400.0,-270.75%,25.50%,-9.19,1.06
318,dydxusdt,15m,Up,7,9,Close,-654.98,94.12,314.38,-142.61,10,2000.0,-327.49%,36.69%,-6.96,1.15
107,ftmusdt,15m,Any,5,12,Close,-669.65,89.31,233.67,-67.4,12,2400.0,-279.02%,21.74%,-7.5,1.11
301,dydxusdt,15m,Any,7,5,Close,-680.68,99.71,141.57,-115.95,9,1800.0,-378.16%,52.51%,-6.83,1.11
270,dydxusdt,1h,Any,7,9,Close,-681.57,17.47,299.73,-455.36,10,2000.0,-340.79%,38.46%,-39.02,1.17
171,sandusdt,15m,Any,5,12,Close,-696.1,78.49,178.84,-58.19,9,1800.0,-386.72%,21.39%,-8.87,1.17
143,sandusdt,1h,Any,7,12,Close,-707.32,14.05,101.45,-263.17,7,1400.0,-505.23%,30.30%,-50.33,1.0
142,sandusdt,1h,Any,7,9,Close,-736.54,14.04,76.42,-263.17,7,1400.0,-526.10%,35.29%,-52.46,1.0
175,sandusdt,15m,Any,7,12,Close,-742.64,78.47,259.28,-93.69,10,2000.0,-371.32%,27.27%,-9.46,1.2
123,ftmusdt,15m,Up,5,12,Close,-763.41,83.66,211.94,-67.4,11,2200.0,-347.01%,21.79%,-9.13,1.1
106,ftmusdt,15m,Any,5,9,Close,-774.61,89.26,188.31,-67.4,12,2400.0,-322.75%,27.69%,-8.68,1.11
122,ftmusdt,15m,Up,5,9,Close,-863.7,83.61,170.39,-67.4,11,2200.0,-392.59%,27.37%,-10.33,1.09
303,dydxusdt,15m,Any,7,12,Close,-911.99,99.59,368.78,-142.61,11,2200.0,-414.54%,28.39%,-9.16,1.15
287,dydxusdt,1h,Up,7,12,Close,-920.12,16.15,333.41,-455.36,10,2000.0,-460.06%,25.81%,-56.98,1.17
319,dydxusdt,15m,Up,7,12,Close,-963.83,93.97,368.78,-142.61,11,2200.0,-438.11%,28.29%,-10.26,1.16
271,dydxusdt,1h,Any,7,12,Close,-1066.78,17.28,371.16,-455.36,10,2000.0,-533.39%,23.53%,-61.75,1.04
